CY	BAC	CHL	DIP	DOP	SI	DIN	DON
0,04	1,56	0,03	0,002	0,029	1	0,109	0,481
0	0,63	0,01	0,004	0,031	1,4	0,165	0,585
0,08	1,96	0,08	0,017	0,052	2,4	0,429	0,571
0,04	0,71	0,03	0,006	0,043	1,7	0,842	0,758
0,06	0,3	0,04	0,004	0,023	0,96	0,11	0,36
0,06	1,57	0,03	0,002	0,02	1,1	0,112	0,298
0,79	2,49	0,1	0,002	0,02	0,9	0,111	0,479
0,11	2,31	0,04	0,01	0,05	0,63	0,159	0,721
0,53	0,85	0,19	0,009	0,05	1,1	0,522	0,878
1,82	2,23	0,13	0,004	0,035	0,48	0,062	0,498
8,13	4,97	0,22	0,006	0,02	0,84	0,061	0,489
2,87	2,11	0,09	0,002	0,021	0,37	0,059	0,391
4,38	2,63	1,35	0,027	0,066	1,6	0,162	0,638
1,16	0,23	0,04	0,023	0,026	2,7	0,652	0,848
4,16	1,68	0,11	0,013	0,041	0,64	0,058	0,352
5,58	1,75	0,24	0,009	0,043	0,95	0,059	0,371
6,26	2,45	0,16	0,009	0,044	0,43	0,061	0,449
3,95	1,32	0,09	0,041	0,093	1,9	0,148	0,732
3,15	1,33	0,68	0,01	0,057	0,79	0,063	0,507
1,55	11,95	0,067	0,024	0,072	0,56	0,123	0,647
1,28	7,31	0,148	0,035	0,085	0,96	0,145	0,655
2,16	1,97	0,432	0,024	0,06	0,81	0,107	0,323
0,56	9,88	0,096	0,019	0,049	1,2	0,119	0,441
3,34	1,92	0,433	0,017	0,051	1,2	0,118	0,512
0,708	4,58	0,3	0,028	0,07	1,2	0,149	0,491
0,85	8,67	0,29	0,031	0,072	1	0,134	0,466
3,342	1,92	0,43	0,022	0,044	1,1	0,185	0,655
1,552	11,95	0,07	0,032	0,059	0,1	0,116	0,734
1,582	30,55	0,14	0,006	0,051	0,69	0,158	0,762
0,7	6,09	0,3	0,021	0,055	1,3	0,108	1,492
0,73	3,27	0,23	0,032	0,052	1,4	0,105	1,595
0,99	5,85	0,39	0,017	0,06	1,4	0,13	1,37
0,89	19,94	0,12	0,018	0,071	0,81	0,221	1,479
0	0,355	0,035	0,008	0,02	1	0,074	0,296
0,01	0,937	0,015	0,017	0,031	1,9	0,14	0,24
0	0,808	0,111	0,017	0,033	2,9	0,347	0,343
0,019	0,035	0,035	0,019	0,036	2	0,631	0,189
0,023	0,001	0,083	0,009	0,031	0,62	0,283	0,377
0,634	9,507	0,064	0,004	0,039	0,1	0,06	0,6
0,237	7,478	0,095	0,005	0,05	0,73	0,057	0,403
0,11	11,615	0,175	0,008	0,053	0,12	0,151	0,679
0,062	5,616	0,172	0,012	0,057	1,1	0,301	0,499
0,236	11,597	0,408	0,017	0,072	0,15	0,214	0,636
0,417	0,542	0,167	0,002	0,021	0,26	0,063	0,427
0,028	0,347	0,11	0,002	0,02	0,23	0,062	0,338
0,238	0,151	0,061	0,002	0,017	0,16	0,067	0,403
0,318	0,412	0,065	0,003	0,038	0,57	0,062	0,398
0,34	0,045	0,139	0,002	0,024	0,36	0,08	0,42
2,766	0,75	0,142	0,006	0,039	0,95	0,06	0,46
3,919	1,63	0,14	0,002	0,044	0,75	0,056	0,464
4,652	1,518	0,215	0,006	0,037	1,1	0,057	0,433
6,06	4,456	0,288	0,025	0,067	1,7	0,13	0,47
6,168	2,136	0,338	0,009	0,05	1,1	0,085	0,605
8,285	2,701	0,089	0,004	0,069	0,75	0,061	0,589
6,407	4,166	0,187	0,006	0,08	0,65	0,102	0,678
7,315	4,528	0,204	0,023	0,087	0,5	0,06	0,49
28,298	3,829	0,393	0,029	0,15	0,83	0,081	1,719
16,272	6,287	0,263	0,005	0,051	0,28	0,062	0,648
5,044	3,431	0,352	0,025	0,056	1,9	0,077	0,513
4,427	5,5	0,526	0,021	0,055	1,8	0,06	0,5
4,816	3,446	0,213	0,013	0,047	1,5	0,088	0,632
10,417	9,258	0,569	0,023	0,09	2,1	0,071	0,729
3,64	15,524	0,779	0,03	0,096	0,43	0,072	0,648
3,053	10,693	0,917	0,026	0,069	1,8	0,102	0,508
