HARIDUS	SUGU	ASULA	TULU	KULU	PALK
1	1	2	240	818	1000
1	1	1	708	675	2000
1	1	1	725	754	3500
1	1	1	800	642	1600
1	1	2	881	1352	2000
1	2	2	909	709	1700
1	2	1	1036	819	2115
1	2	2	1051	918	1428
1	1	1	1120	1429	4500
1	2	1	1370	1011	2780
1	1	1	1383	926	1800
2	2	2	1415	915	2700
1	1	1	1593	1101	5130
1	1	1	1663	1065	3200
1	1	1	1664	1597	4595
2	2	1	1869	1395	5608
1	1	1	1894	1509	4552
1	2	1	1973	1956	1814
2	1	1	2364	2864	4000
2	1	1	2494	2907	5400
1	1	2	2562	1938	2600
1	1	1	2750	2391	4500
1	1	1	3000	6840	3000
1	1	1	3007	3137	2500
2	1	1	3277	2394	6094
1	1	1	3280	2204	6080
1	2	1	3586	4082	2620
1	2	2	3809	3927	6392
1	1	1	4000	3705	4000
2	1	1	4483	4010	7400
1	1	1	5000	4988	5000
2	2	2	5341	2395	3849
2	1	1	7972	6771	25700
2	1	1	12937	6155	13996
2	1	1	26325	21023	52650
