GLT1	GLT2	GLT3	CLT4	CLT5	CLT6	CLT7
431,31	432,48	437,61	428,74	442,35	444,04	458,54
436,66	433,86	444,94	432,26	452,42	433,16	447,25
438,48	439,79	448,60	436,83	453,09	433,48	447,65
441,53	442,36	448,77	437,36	470,22	434,59	447,68
442,34	443,63	449,22	437,87	461,69	437,14	448,22
443,52	445,83	449,96	441,29	454,93	437,29	448,80
444,81	446,16	452,11	442,08	451,89	440,95	450,00
445,26	448,34	452,44	444,04	458,44	444,92	451,29
449,40	451,22	453,40	445,08	447,07	446,84	451,60
451,70	452,00	454,61	448,78	454,74	448,01	454,47
455,03	454,63	455,36	448,94	463,65	451,80	454,96
455,90	454,99	457,57	450,39	457,82	451,80	455,73
462,59	455,19	460,38	453,14	445,17	453,98	457,23
464,34	455,62	461,15	454,20	443,49	454,09	457,71
465,42	456,00	461,33	458,53	446,73	454,22	458,65
465,43	460,39	465,89	458,64	467,87	455,68	460,38
471,09	460,86	467,38	458,83	453,97	459,47	461,79
473,28	462,89	468,08	464,78	458,73	460,13	462,30
473,57	464,10	468,70	465,66	467,56	462,69	466,67
475,56	469,37	471,75	467,55	461,27	464,78	470,56
